time,key,event
2025-05-27 19:20:08.549632,t,press
2025-05-27 19:20:08.633727,h,press
2025-05-27 19:20:08.677538,t,release
2025-05-27 19:20:08.717911,h,release
2025-05-27 19:20:08.817721,i,press
2025-05-27 19:20:08.918003,i,release
2025-05-27 19:20:08.935845,s,press
2025-05-27 19:20:09.035545,Key.space,press
2025-05-27 19:20:09.055668,s,release
2025-05-27 19:20:09.119908,Key.space,release
2025-05-27 19:20:09.201638,i,press
2025-05-27 19:20:09.321704,s,press
2025-05-27 19:20:09.329670,i,release
2025-05-27 19:20:09.409576,Key.space,press
2025-05-27 19:20:09.421626,s,release
2025-05-27 19:20:09.441919,Key.space,release
2025-05-27 19:20:09.592679,a,press
2025-05-27 19:20:09.668569,Key.space,press
2025-05-27 19:20:09.732479,a,release
2025-05-27 19:20:09.764809,Key.space,release
2025-05-27 19:20:09.994547,t,press
2025-05-27 19:20:10.098981,e,press
2025-05-27 19:20:10.142875,t,release
2025-05-27 19:20:10.191034,e,release
2025-05-27 19:20:10.280787,s,press
2025-05-27 19:20:10.417105,s,release
2025-05-27 19:20:10.467877,t,press
2025-05-27 19:20:10.539716,.,press
2025-05-27 19:20:10.595734,t,release
2025-05-27 19:20:10.667790,Key.space,press
2025-05-27 19:20:10.671963,.,release
2025-05-27 19:20:10.804008,Key.space,release
2025-05-27 19:20:11.019548,Key.shift,press
2025-05-27 19:20:11.169597,L,press
2025-05-27 19:20:11.249707,Key.shift,release
2025-05-27 19:20:11.273874,l,release
2025-05-27 19:20:11.371599,e,press
2025-05-27 19:20:11.499960,e,release
2025-05-27 19:20:11.554411,t,press
2025-05-27 19:20:11.642503,',press
2025-05-27 19:20:11.682422,t,release
2025-05-27 19:20:11.794914,',release
2025-05-27 19:20:11.808414,s,press
2025-05-27 19:20:11.876596,Key.space,press
2025-05-27 19:20:11.912624,s,release
2025-05-27 19:20:12.008839,Key.space,release
2025-05-27 19:20:12.095545,s,press
2025-05-27 19:20:12.211864,s,release
2025-05-27 19:20:12.329767,e,press
2025-05-27 19:20:12.409939,e,release
2025-05-27 19:20:12.495630,e,press
2025-05-27 19:20:12.587897,e,release
2025-05-27 19:20:12.595524,Key.space,press
2025-05-27 19:20:12.647861,Key.space,release
2025-05-27 19:20:12.719501,w,press
2025-05-27 19:20:12.815465,h,press
2025-05-27 19:20:12.875593,w,release
2025-05-27 19:20:12.935874,h,release
2025-05-27 19:20:12.969587,a,press
2025-05-27 19:20:13.094070,a,release
2025-05-27 19:20:13.444656,t,press
2025-05-27 19:20:13.560895,t,release
2025-05-27 19:20:13.581347,Key.space,press
2025-05-27 19:20:13.685847,Key.space,release
