time,x,y,event,button
2025-05-28 19:40:48.688784,275.42999267578125,428.1015319824219,move,
2025-05-28 19:40:48.688924,275.88714599609375,428.1015319824219,move,
2025-05-28 19:40:48.703949,276.34429931640625,427.8729553222656,move,
2025-05-28 19:40:48.704066,276.8014831542969,427.8729553222656,move,
2025-05-28 19:40:48.718792,277.2586669921875,427.6443786621094,move,
2025-05-28 19:40:48.718921,277.48724365234375,427.6443786621094,move,
2025-05-28 19:40:48.735020,277.94439697265625,427.4158020019531,move,
2025-05-28 19:40:48.749169,278.1729736328125,427.4158020019531,move,
2025-05-28 19:40:49.126930,278.40155029296875,427.4158020019531,move,
2025-05-28 19:40:49.139812,278.9842224121094,428.2898254394531,move,
2025-05-28 19:40:49.140034,279.85821533203125,428.87249755859375,move,
2025-05-28 19:40:49.154253,281.7613525390625,430.2998352050781,move,
2025-05-28 19:40:49.154347,284.3711242675781,432.3876647949219,move,
2025-05-28 19:40:49.169298,287.5028381347656,433.9535217285156,move,
2025-05-28 19:40:49.169454,291.57891845703125,436.2826843261719,move,
2025-05-28 19:40:49.183914,296.3981628417969,439.29473876953125,move,
2025-05-28 19:40:49.184040,301.81982421875,441.704345703125,move,
2025-05-28 19:40:49.198367,308.88885498046875,444.91754150390625,move,
2025-05-28 19:40:49.214347,316.6004638671875,447.4880676269531,move,
2025-05-28 19:40:49.214583,322.02215576171875,449.897705078125,move,
2025-05-28 19:40:49.229053,329.7337951660156,452.4682312011719,move,
2025-05-28 19:40:49.229160,337.55682373046875,455.72784423828125,move,
2025-05-28 19:40:49.244005,345.3798828125,458.9874267578125,move,
2025-05-28 19:40:49.244140,353.9582824707031,462.9466857910156,move,
2025-05-28 19:40:49.258826,363.2930908203125,467.6141052246094,move,
2025-05-28 19:40:49.258920,374.21893310546875,473.7598876953125,move,
2025-05-28 19:40:49.274061,388.1687927246094,481.43231201171875,move,
2025-05-28 19:40:49.274194,401.3616027832031,489.07025146484375,move,
2025-05-28 19:40:49.287906,416.1241455078125,497.5059814453125,move,
2025-05-28 19:40:49.288004,430.8866882324219,506.64471435546875,move,
2025-05-28 19:40:49.305248,445.64923095703125,515.783447265625,move,
2025-05-28 19:40:49.305457,460.4117736816406,524.922119140625,move,
2025-05-28 19:40:49.320153,473.718505859375,534.7271118164062,move,
2025-05-28 19:40:49.320444,487.0252685546875,543.8317260742188,move,
2025-05-28 19:40:49.335027,497.26824951171875,551.3432006835938,move,
2025-05-28 19:40:49.335387,506.08392333984375,558.8026733398438,move,
2025-05-28 19:40:49.349242,513.41845703125,566.1371459960938,move,
2025-05-28 19:40:49.349438,520.6771240234375,572.7359619140625,move,
2025-05-28 19:40:49.364780,527.27587890625,579.334716796875,move,
2025-05-28 19:40:49.364945,533.8746337890625,586.5933837890625,move,
2025-05-28 19:40:49.379937,540.473388671875,593.8519897460938,move,
2025-05-28 19:40:49.393917,546.474365234375,601.853271484375,move,
2025-05-28 19:40:49.394071,551.689697265625,609.0244140625,move,
2025-05-28 19:40:49.408779,555.479736328125,615.341064453125,move,
2025-05-28 19:40:49.409059,558.5722045898438,620.9075317382812,move,
2025-05-28 19:40:49.423884,560.9013671875,625.56591796875,move,
2025-05-28 19:40:49.424304,562.5706787109375,629.4609375,move,
2025-05-28 19:40:49.439016,563.1271362304688,633.35595703125,move,
2025-05-28 19:40:49.439098,563.1271362304688,635.7349243164062,move,
2025-05-28 19:40:49.455681,563.1271362304688,638.8666381835938,move,
2025-05-28 19:40:49.455788,562.7205200195312,640.4931030273438,move,
2025-05-28 19:40:49.469521,561.9072875976562,642.1195678710938,move,
2025-05-28 19:40:49.469670,561.0940551757812,643.74609375,move,
2025-05-28 19:40:49.483748,560.6874389648438,645.37255859375,move,
2025-05-28 19:40:49.483885,559.8742065429688,646.9990234375,move,
2025-05-28 19:40:49.498519,559.5828857421875,647.873046875,move,
2025-05-28 19:40:49.498637,559.17626953125,649.49951171875,move,
2025-05-28 19:40:49.514122,558.8848876953125,650.37353515625,move,
2025-05-28 19:40:49.514287,558.5935668945312,651.24755859375,move,
2025-05-28 19:40:49.529270,558.364990234375,651.7047119140625,move,
2025-05-28 19:40:49.529439,558.1364135742188,652.161865234375,move,
2025-05-28 19:40:49.545138,557.9078369140625,652.6190185546875,move,
2025-05-28 19:40:49.545415,557.6792602539062,652.8475952148438,move,
2025-05-28 19:40:49.559365,557.6792602539062,653.076171875,move,
2025-05-28 19:40:49.559515,557.45068359375,653.076171875,move,
2025-05-28 19:40:49.574218,557.45068359375,653.5333862304688,move,
2025-05-28 19:40:49.588915,557.45068359375,653.761962890625,move,
2025-05-28 19:40:49.589040,557.45068359375,653.9905395507812,move,
2025-05-28 19:40:49.603013,557.45068359375,654.4476928710938,move,
2025-05-28 19:40:49.603175,557.45068359375,655.3217163085938,move,
2025-05-28 19:40:49.618846,558.0333251953125,656.1956787109375,move,
2025-05-28 19:40:49.618940,558.32470703125,657.0697021484375,move,
2025-05-28 19:40:49.633737,558.7313232421875,658.6961669921875,move,
2025-05-28 19:40:49.633823,559.31396484375,659.5701904296875,move,
2025-05-28 19:40:49.650011,559.6053466796875,660.4442138671875,move,
2025-05-28 19:40:49.650213,559.8338623046875,660.9013671875,move,
2025-05-28 19:40:49.664088,559.8338623046875,661.1299438476562,move,
2025-05-28 19:40:49.664235,559.8338623046875,661.3585205078125,move,
2025-05-28 19:40:49.679652,560.0625,661.3585205078125,move,
2025-05-28 19:40:49.708869,560.291015625,661.5870971679688,move,
2025-05-28 19:40:49.709043,560.291015625,661.815673828125,move,
