time,key,event
2025-05-28 19:40:48.959033,Key.cmd,press
2025-05-28 19:40:49.268949,Key.tab,press
2025-05-28 19:40:49.410216,Key.cmd,release
2025-05-28 19:40:49.424851,Key.tab,release
